Protein	Description	Gene	tenE_ECDdel293	tenK_ECDdel293	FC	Pvalue	log2FC	Sig	UPDOWN
A0A024RBG1	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	NUDT4B	47795	25804.5786713934	1.85219067548601	0.295252944439296	0.889232625821733	Nonsignificant	None
A2NJV5	Immunoglobulin kappa variable 2-29	IGKV2-29	3681800	7533323.39179513	0.488735158245033	0.156736436289478	-1.03287520310963	Nonsignificant	None
A0AVT1	Ubiquitin-like modifier-activating enzyme 6	UBA6	78843	57671.7298634005	1.36709962032949	0.41673416075394	0.451118375730159	Nonsignificant	None
A0FGR8	Extended synaptotagmin-2	ESYT2	541000	1238242.85065627	0.436909447701046	0.12642405895033	-1.19459379202563	Nonsignificant	None
A1L020	RNA-binding protein MEX3A	MEX3A	187370	294192.525423985	0.636895854950651	0.245759133873921	-0.650870612248712	Nonsignificant	None
A1L0T0	2-hydroxyacyl-CoA lyase 2	ILVBL	455220	564297.812838196	0.806701691276141	0.343766579805391	-0.309892814295517	Nonsignificant	None
A2RRP1	NBAS subunit of NRZ tethering complex	NBAS	6524.6	114422.321394119	0.0570220907992813	0.000156155004634478	-4.13233525098196	Significant	down
A2RTX5	Threonine--tRNA ligase 2, cytoplasmic	TARS3	16472	67026.0484487345	0.245755200869387	0.0329594142383868	-2.02470614652465	Significant	down
A3KMH1	von Willebrand factor A domain-containing protein 8	VWA8	285960	365236.642806657	0.782944443368397	0.330570670522079	-0.353018155341092	Nonsignificant	None
A5YKK6	CCR4-NOT transcription complex subunit 1	CNOT1	47095	131362.796477916	0.358510942692343	0.0834069424332539	-1.47991094045936	Nonsignificant	None
Q9GZQ8	Microtubule-associated proteins 1A/1B light chain 3B	MAP1LC3B	147390	45841.9843564467	3.21517495521052	0.128499824656039	1.68489724459741	Nonsignificant	None
A6NHL2	Tubulin alpha chain-like 3	TUBAL3	639360	1301451.99831268	0.491266678163255	0.158240224077134	-1.02542170818792	Nonsignificant	None
A6NHQ2	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	1242700	551592.456525349	2.25293146289228	0.226761331890016	1.17180342557982	Nonsignificant	None
A7MCY6	TANK-binding kinase 1-binding protein 1	TBKBP1	61769	164746.120189923	0.374934474504112	0.0920278438999158	-1.41528961012699	Nonsignificant	None
P62308	Small nuclear ribonucleoprotein G	SNRPG	255660	189659.206360032	1.34799678279091	0.422671565489771	0.430817053302307	Nonsignificant	None
P0DOY3	Immunoglobulin lambda constant 3	IGLC3	7172.5	61163.5852900481	0.117267487933985	0.00313496183704511	-3.09212500903964	Significant	down
E9PAV3	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	1587900	803010.282362747	1.97743420585827	0.271347778921923	0.983629693453511	Nonsignificant	None
O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	2698200	3813724.45323974	0.707497364605849	0.287460008004638	-0.499203320903483	Nonsignificant	None
O00148	ATP-dependent RNA helicase DDX39A	DDX39A	505300	819643.711335649	0.616487374955381	0.233532207923658	-0.697856744907691	Nonsignificant	None
O00151	PDZ and LIM domain protein 1	PDLIM1	1478300	464433.712219215	3.18301613579299	0.130791273560466	1.67039447050494	Nonsignificant	None
O00154	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	330630	43953.1213846033	7.52233264861638	0.020125803042528	2.91118010588605	Significant	up
O00159	Unconventional myosin-Ic	MYO1C	2697400	1392718.80782664	1.93678722857871	0.278830526247863	0.953665471166281	Nonsignificant	None
O00161	Synaptosomal-associated protein 23	SNAP23	103010	23499.6152803043	4.38347601742807	0.0710329016374609	2.13207535481358	Nonsignificant	None
O00170	AH receptor-interacting protein	AIP	174160	66457.4837537345	2.6206228427993	0.180682422846686	1.38990973749846	Nonsignificant	None
O00178	GTP-binding protein 1	GTPBP1	11251	95600.3947963286	0.117687798507209	0.00317637347662284	-3.08696334074398	Significant	down
O00186	Syntaxin-binding protein 3	STXBP3	40356	154528.896155008	0.261155039634263	0.0387392144738807	-1.93702155052927	Significant	down
O00203	AP-3 complex subunit beta-1	AP3B1	743850	1093190.03275126	0.680439793370539	0.271608346694557	-0.555460579959563	Nonsignificant	None
O00213	Amyloid beta precursor protein binding family B member 1	APBB1	144810	731055.61444432	0.19808342503473	0.0178800652952014	-2.33581992955463	Significant	down
O00217	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUFS8	43173	147212.728478194	0.293269477757115	0.0520474889870058	-1.76970116555798	Nonsignificant	None
O00231	26S proteasome non-ATPase regulatory subunit 11	PSMD11	1534600	606193.725279811	2.53153395689084	0.190670505225336	1.34001183605869	Nonsignificant	None
O00232	26S proteasome non-ATPase regulatory subunit 12	PSMD12	969830	413146.42390302	2.34742440909437	0.213623399850133	1.23107870148692	Nonsignificant	None
O00244	Copper transport protein ATOX1	ATOX1	42458	61769.2072742938	0.687365143144221	0.275682642061685	-0.540851401582768	Nonsignificant	None
O00264	Membrane-associated progesterone receptor component 1	PGRMC1	572050	424877.702898549	1.34638743360132	0.423176438553465	0.429093616565358	Nonsignificant	None
O00267	Transcription elongation factor SPT5	SUPT5H	787260	1735869.3062428	0.453524926772272	0.136027528214516	-1.14074624811933	Nonsignificant	None
O00273	DNA fragmentation factor subunit alpha	DFFA	125660	15371.36357916	8.17494162784399	0.016137962653704	3.03120842926263	Significant	up
O00299	Chloride intracellular channel protein 1	CLIC1	4916900	1313839.72071771	3.74238951865	0.0972400884090096	1.90395972623734	Nonsignificant	None
O00303	Eukaryotic translation initiation factor 3 subunit F	EIF3F	741720	1086519.72068701	0.682656730363815	0.272913827122514	-0.550767784151565	Nonsignificant	None
O00330	Pyruvate dehydrogenase protein X component, mitochondrial	PDHX	155440	273895.718714211	0.567515259930695	0.204029506364555	-0.817268909302578	Nonsignificant	None
O00410	Importin-5	IPO5	1897700	2338420.82937959	0.8115305748895	0.346424800434639	-0.301282644709917	Nonsignificant	None
O00411	DNA-directed RNA polymerase, mitochondrial	POLRMT	342390	650715.411359414	0.526174720965515	0.179116068068688	-0.926386156177819	Nonsignificant	None
O00422	Histone deacetylase complex subunit SAP18	SAP18	81824	16675.7801606124	4.90675693802113	0.0559300015092211	2.29476980757963	Nonsignificant	None
O00425	Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3	6304000	11508935.2600544	0.54774832402439	0.192104497033125	-0.868414929958311	Nonsignificant	None
O00429	Dynamin-1-like protein	DNM1L	139830	191077.9711483	0.731795502954523	0.301530589621352	-0.450487544863742	Nonsignificant	None
O00442	RNA 3-terminal phosphate cyclase	RTCA	390390	560073.281864174	0.697033785829968	0.281351572246534	-0.520699508423464	Nonsignificant	None
O00461	Golgi integral membrane protein 4	GOLIM4	268340	395888.314911402	0.677817429544626	0.270062668680516	-0.561031359814797	Nonsignificant	None
O00469	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	10269000	3495984.66744927	2.93736986194863	0.150112368511815	1.55452493553114	Nonsignificant	None
O00471	Exocyst complex component 5	EXOC5	18366	54545.1534307472	0.336711858796368	0.0723730782685786	-1.57041356194446	Nonsignificant	None
O00483	Cytochrome c oxidase subunit NDUFA4	NDUFA4	46897	29423.4876611694	1.59386271743341	0.353481050950327	0.672527372485671	Nonsignificant	None
O00487	26S proteasome non-ATPase regulatory subunit 14	PSMD14	275780	125486.569183224	2.19768539211022	0.234916257661837	1.13598487321685	Nonsignificant	None
O00499	Myc box-dependent-interacting protein 1	BIN1	32810	17059.0584093833	1.92331834575072	0.281367057115939	0.943597575898982	Nonsignificant	None
O00505	Importin subunit alpha-4	KPNA3	593900	633192.607444612	0.937945252388233	0.41293662263098	-0.0924243794101351	Nonsignificant	None
O00541	Pescadillo homolog	PES1	121480	37779.3769962522	3.21551093899857	0.128476152847332	1.68504799745745	Nonsignificant	None
O00560	Syntenin-1	SDCBP	905820	217060.424808073	4.17312368572454	0.0785268866831221	2.06112768075876	Nonsignificant	None
O00566	U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10	48641	42097.0805832349	1.15544829537113	0.488565900390502	0.208452702747458	Nonsignificant	None
O00567	Nucleolar protein 56	NOP56	10477000	6225201.0814182	1.68299784424203	0.331895031625581	0.7510333287158	Nonsignificant	None
O00571	ATP-dependent RNA helicase DDX3X	DDX3X	30359000	47574147.9337649	0.638140698647243	0.246502966692488	-0.648053547289571	Nonsignificant	None
O00592	Podocalyxin	PODXL	23787	6713.93378758573	3.54293038218263	0.107800630750114	1.82494311708856	Nonsignificant	None
O00622	CCN family member 1	CCN1	250140	42273.896791922	5.91712661908657	0.0365642091530014	2.56489676728224	Significant	up
